iter	Passed	Remaining
0	20	20235
1	41	20507
2	62	20936
3	92	23149
4	114	22724
5	136	22688
6	167	23813
7	196	24367
8	228	25182
9	253	25058
10	276	24817
11	304	25058
12	329	25000
13	353	24911
14	375	24643
15	396	24369
16	418	24221
17	444	24265
18	467	24153
19	491	24106
20	513	23956
21	534	23752
22	556	23628
23	586	23842
24	608	23732
25	636	23847
26	656	23668
27	677	23518
28	697	23341
29	718	23218
30	740	23161
31	761	23033
32	785	23022
33	805	22883
34	827	22823
35	852	22814
36	874	22752
37	894	22638
38	917	22620
39	938	22526
40	961	22499
41	983	22433
42	1005	22378
43	1026	22298
44	1049	22278
45	1080	22410
46	1113	22571
47	1138	22571
48	1164	22607
49	1184	22510
50	1204	22410
51	1225	22348
52	1254	22407
53	1276	22355
54	1299	22333
55	1336	22526
56	1361	22518
57	1383	22466
58	1414	22557
59	1433	22461
60	1454	22387
61	1489	22535
62	1511	22482
63	1532	22407
64	1568	22567
65	1589	22487
66	1621	22586
67	1641	22501
68	1661	22422
69	1687	22414
70	1707	22339
71	1727	22262
72	1747	22196
73	1769	22137
74	1803	22237
75	1832	22276
76	1869	22412
77	1896	22411
78	1923	22426
79	1947	22398
80	1977	22441
81	2001	22405
82	2027	22394
83	2047	22329
84	2066	22250
85	2095	22272
86	2121	22266
87	2147	22260
88	2171	22225
89	2196	22208
90	2226	22236
91	2256	22269
92	2277	22209
93	2307	22239
94	2334	22242
95	2360	22227
96	2380	22162
97	2411	22194
98	2433	22143
99	2457	22113
100	2484	22110
101	2506	22069
102	2529	22029
103	2551	21982
104	2573	21933
105	2595	21888
106	2628	21937
107	2651	21900
108	2675	21868
109	2698	21833
110	2722	21808
111	2748	21794
112	2771	21758
113	2794	21716
114	2816	21677
115	2839	21642
116	2864	21614
117	2898	21665
118	2922	21639
119	2960	21708
120	3005	21836
121	3041	21886
122	3077	21942
123	3104	21932
124	3126	21885
125	3156	21892
126	3178	21851
127	3222	21955
128	3250	21947
129	3274	21912
130	3293	21849
131	3314	21796
132	3342	21789
133	3367	21760
134	3386	21700
135	3419	21721
136	3446	21713
137	3473	21696
138	3494	21643
139	3515	21594
140	3539	21561
141	3565	21543
142	3591	21525
143	3615	21491
144	3634	21432
145	3657	21396
146	3710	21533
147	3738	21523
148	3764	21498
149	3790	21477
150	3821	21484
151	3845	21453
152	3877	21468
153	3902	21441
154	3936	21460
155	3960	21428
156	3990	21427
157	4020	21427
158	4042	21381
159	4067	21356
160	4090	21318
161	4113	21276
162	4136	21240
163	4158	21198
164	4179	21152
165	4201	21107
166	4223	21069
167	4253	21065
168	4284	21066
169	4315	21067
170	4357	21127
171	4379	21083
172	4402	21046
173	4423	20999
174	4444	20954
175	4466	20910
176	4487	20866
177	4507	20817
178	4527	20766
179	4548	20720
180	4568	20673
181	4589	20625
182	4612	20593
183	4643	20593
184	4667	20563
185	4696	20554
186	4717	20511
187	4759	20557
188	4780	20515
189	4811	20512
190	4831	20465
191	4854	20429
192	4876	20389
193	4902	20369
194	4925	20332
195	4944	20282
196	4976	20285
197	5000	20254
198	5023	20221
199	5044	20178
200	5072	20164
201	5095	20127
202	5115	20082
203	5136	20040
204	5155	19994
205	5175	19947
206	5194	19899
207	5213	19851
208	5236	19819
209	5277	19853
210	5299	19814
211	5334	19829
212	5357	19795
213	5383	19774
214	5410	19753
215	5444	19762
216	5489	19806
217	5538	19868
218	5579	19896
219	5607	19880
220	5637	19871
221	5660	19837
222	5687	19816
223	5727	19842
224	5764	19856
225	5791	19835
226	5836	19875
227	5870	19876
228	5909	19895
229	5944	19899
230	5968	19868
231	5990	19831
232	6013	19793
233	6038	19766
234	6058	19722
235	6085	19699
236	6108	19665
237	6136	19647
238	6160	19616
239	6195	19618
240	6219	19588
241	6251	19582
242	6290	19596
243	6321	19586
244	6355	19586
245	6384	19570
246	6412	19549
247	6454	19572
248	6503	19616
249	6531	19593
250	6554	19559
251	6578	19526
252	6601	19492
253	6625	19459
254	6659	19457
255	6691	19445
256	6747	19508
257	6809	19584
258	6848	19594
259	6897	19630
260	6924	19607
261	6949	19575
262	6972	19539
263	6998	19511
264	7031	19502
265	7079	19535
266	7107	19512
267	7134	19486
268	7163	19465
269	7195	19453
270	7226	19440
271	7258	19428
272	7293	19423
273	7322	19403
274	7347	19370
275	7378	19356
276	7409	19339
277	7443	19330
278	7466	19296
279	7492	19267
280	7537	19285
281	7576	19290
282	7614	19292
283	7640	19263
284	7667	19234
285	7710	19250
286	7739	19226
287	7762	19191
288	7788	19161
289	7808	19116
290	7829	19075
291	7852	19038
292	7876	19005
293	7914	19005
294	7961	19027
295	7991	19007
296	8023	18990
297	8078	19029
298	8112	19019
299	8169	19062
300	8209	19063
301	8238	19042
302	8263	19007
303	8287	18974
304	8312	18940
305	8346	18930
306	8377	18910
307	8410	18895
308	8444	18884
309	8474	18863
310	8500	18832
311	8526	18801
312	8551	18770
313	8572	18729
314	8602	18707
315	8625	18670
316	8649	18635
317	8713	18688
318	8819	18828
319	8845	18796
320	8868	18759
321	8915	18772
322	8964	18788
323	8995	18767
324	9022	18738
325	9072	18756
326	9101	18732
327	9125	18695
328	9150	18662
329	9172	18622
330	9196	18586
331	9218	18547
332	9240	18508
333	9264	18473
334	9295	18452
335	9320	18418
336	9349	18393
337	9381	18373
338	9418	18364
339	9448	18342
340	9486	18332
341	9521	18319
342	9547	18288
343	9569	18249
344	9611	18248
345	9645	18231
346	9668	18195
347	9698	18171
348	9725	18141
349	9763	18131
350	9797	18115
351	9859	18151
352	9895	18137
353	9922	18107
354	9951	18080
355	9991	18073
356	10035	18074
357	10059	18039
358	10098	18030
359	10120	17991
360	10139	17947
361	10165	17916
362	10188	17878
363	10214	17847
364	10236	17808
365	10260	17773
366	10291	17751
367	10317	17719
368	10356	17710
369	10382	17677
370	10414	17657
371	10440	17625
372	10473	17605
373	10506	17585
374	10536	17560
375	10561	17527
376	10583	17490
377	10611	17460
378	10647	17446
379	10677	17420
380	10707	17395
381	10735	17368
382	10777	17362
383	10800	17326
384	10823	17288
385	10846	17253
386	10881	17235
387	10934	17247
388	10965	17224
389	10999	17204
390	11029	17179
391	11063	17159
392	11107	17156
393	11159	17163
394	11219	17183
395	11248	17157
396	11309	17177
397	11344	17159
398	11381	17143
399	11412	17118
400	11442	17091
401	11473	17067
402	11504	17042
403	11537	17020
404	11569	16996
405	11599	16971
406	11649	16973
407	11710	16991
408	11740	16964
409	11763	16928
410	11786	16890
411	11809	16854
412	11836	16823
413	11859	16786
414	11894	16767
415	11931	16750
416	11953	16712
417	11976	16675
418	12000	16640
419	12025	16607
420	12048	16570
421	12072	16535
422	12098	16502
423	12142	16495
424	12166	16460
425	12185	16418
426	12223	16403
427	12246	16367
428	12266	16326
429	12285	16285
430	12305	16245
431	12325	16205
432	12360	16185
433	12406	16180
434	12432	16148
435	12462	16120
436	12501	16106
437	12525	16071
438	12553	16042
439	12578	16008
440	12603	15976
441	12639	15957
442	12661	15919
443	12680	15879
444	12701	15841
445	12723	15803
446	12745	15768
447	12786	15754
448	12809	15719
449	12832	15684
450	12856	15649
451	12879	15614
452	12898	15575
453	12919	15537
454	12939	15499
455	12970	15473
456	12991	15436
457	13014	15401
458	13051	15382
459	13076	15351
460	13097	15313
461	13118	15276
462	13137	15237
463	13165	15208
464	13189	15174
465	13209	15137
466	13231	15101
467	13260	15073
468	13281	15037
469	13300	14997
470	13322	14962
471	13341	14923
472	13360	14885
473	13380	14848
474	13400	14811
475	13424	14778
476	13447	14744
477	13468	14708
478	13501	14685
479	13520	14647
480	13539	14609
481	13558	14570
482	13578	14534
483	13600	14499
484	13622	14465
485	13643	14429
486	13669	14399
487	13688	14362
488	13709	14326
489	13730	14290
490	13757	14261
491	13791	14240
492	13832	14225
493	13857	14193
494	13893	14173
495	13923	14148
496	13943	14112
497	13980	14092
498	14002	14058
499	14021	14021
500	14041	13985
501	14060	13948
502	14081	13913
503	14103	13879
504	14127	13847
505	14150	13814
506	14175	13783
507	14196	13748
508	14219	13716
509	14238	13680
510	14259	13645
511	14279	13609
512	14298	13574
513	14332	13551
514	14358	13522
515	14393	13501
516	14424	13476
517	14447	13443
518	14472	13412
519	14503	13387
520	14524	13353
521	14546	13320
522	14568	13287
523	14589	13253
524	14618	13226
525	14647	13199
526	14669	13166
527	14691	13133
528	14714	13100
529	14738	13070
530	14770	13045
531	14791	13011
532	14815	12981
533	14840	12951
534	14864	12919
535	14890	12889
536	14910	12855
537	14948	12836
538	14971	12804
539	15001	12779
540	15022	12745
541	15045	12713
542	15077	12689
543	15097	12655
544	15116	12620
545	15145	12593
546	15167	12560
547	15188	12527
548	15208	12493
549	15228	12459
550	15248	12425
551	15268	12392
552	15288	12358
553	15310	12325
554	15330	12291
555	15350	12258
556	15371	12225
557	15393	12193
558	15418	12163
559	15438	12129
560	15470	12105
561	15495	12076
562	15519	12045
563	15538	12012
564	15558	11978
565	15581	11947
566	15601	11914
567	15630	11888
568	15651	11855
569	15671	11822
570	15693	11790
571	15731	11770
572	15752	11739
573	15776	11708
574	15801	11679
575	15825	11649
576	15845	11616
577	15865	11583
578	15889	11553
579	15911	11522
580	15932	11489
581	15960	11462
582	15996	11441
583	16015	11408
584	16039	11378
585	16071	11354
586	16091	11321
587	16110	11288
588	16140	11262
589	16159	11229
590	16182	11198
591	16215	11175
592	16236	11143
593	16255	11110
594	16284	11084
595	16308	11054
596	16330	11023
597	16351	10992
598	16397	10977
599	16426	10950
600	16459	10927
601	16486	10899
602	16509	10869
603	16530	10838
604	16555	10808
605	16579	10779
606	16602	10748
607	16625	10718
608	16661	10697
609	16687	10669
610	16710	10638
611	16732	10607
612	16751	10575
613	16773	10545
614	16793	10513
615	16816	10482
616	16834	10450
617	16866	10425
618	16885	10393
619	16905	10361
620	16926	10330
621	16945	10297
622	16968	10268
623	16999	10243
624	17027	10216
625	17048	10185
626	17071	10155
627	17110	10135
628	17136	10107
629	17163	10080
630	17197	10057
631	17228	10031
632	17263	10009
633	17286	9979
634	17307	9948
635	17337	9922
636	17358	9891
637	17380	9861
